,CE,TE,Width,Inter-Pa1,Inter-Pa2,Inter-Pa3,Failed1,Failed2,Failed3,T.Prob1,T.Prob2,T.Prob3,Mean.T.Prob,SD,SE,DP
1,3,3,2,11,12,14,165988,163901,163678,6.63E-05,7.32E-05,8.55E-05,7.50E-05,9.75E-06,5.63E-06,5
2,5,3,2,26,24,27,162365,163678,161952,0.000160107,0.000146608,0.000166688,0.000157801,1.02E-05,5.91E-06,5
3,9,3,2,62,41,60,164210,166019,163010,0.000377423,0.000246899,0.00036794,0.000330754,7.28E-05,4.20E-05,5
4,17,3,2,102,113,118,164215,162400,164668,0.000620751,0.000695329,0.00071608,0.000677387,5.01E-05,2.89E-05,5
5,3,7,2,16,17,15,163086,163905,162033,9.81E-05,0.000103708,9.26E-05,9.81E-05,5.57E-06,3.22E-06,5
6,5,7,2,27,18,25,164765,163091,163777,0.000163843,0.000110356,0.000152623,0.000142274,2.82E-05,1.63E-05,5
7,9,7,2,18,35,37,164170,161308,163522,0.00010963,0.000216929,0.000226218,0.000184259,6.48E-05,3.74E-05,5
8,17,7,2,75,74,69,163276,163437,160561,0.000459134,0.000452569,0.000429559,0.000447087,1.55E-05,8.97E-06,5
9,3,15,2,0,0,1,162081,165158,164749,0,0,6.07E-06,2.02E-06,3.50E-06,2.02E-06,5
10,5,15,2,2,1,1,162849,164627,163104,1.23E-05,6.07E-06,6.13E-06,8.16E-06,3.57E-06,2.06E-06,5
11,9,15,2,1,5,4,161693,164089,163113,6.18E-06,3.05E-05,2.45E-05,2.04E-05,1.27E-05,7.31E-06,5
12,17,15,2,15,21,12,164309,162851,162045,9.13E-05,0.000128936,7.40E-05,9.81E-05,2.81E-05,1.62E-05,5
13,3,3,4,6,15,12,163479,162431,163757,3.67E-05,9.23E-05,7.33E-05,6.74E-05,2.83E-05,1.63E-05,5
14,5,3,4,14,22,17,163895,164810,163407,8.54E-05,0.000133469,0.000104024,0.000107635,2.42E-05,1.40E-05,5
15,9,3,4,35,32,30,160880,162329,163578,0.000217506,0.000197092,0.000183365,0.000199321,1.72E-05,9.92E-06,5
16,17,3,4,70,73,77,164870,165536,166035,0.000424397,0.000440797,0.000463543,0.000442912,1.97E-05,1.13E-05,5
17,3,7,4,4,4,11,162789,161242,163634,2.46E-05,2.48E-05,6.72E-05,3.89E-05,2.46E-05,1.42E-05,5
18,5,7,4,10,6,10,165582,161902,163090,6.04E-05,3.71E-05,6.13E-05,5.29E-05,1.37E-05,7.94E-06,5
19,9,7,4,9,11,22,163088,165969,163185,5.52E-05,6.63E-05,0.000134798,8.54E-05,4.31E-05,2.49E-05,5
20,17,7,4,30,30,21,162882,164243,162319,0.000184148,0.000182623,0.000129358,0.000165376,3.12E-05,1.80E-05,5
21,3,15,4,0,0,0,163618,164208,161595,0,0,0,0,0,0,5
