,CE,TE,Width,Inter-Pa1,Inter-Pa2,Inter-Pa3,Failed1,Failed2,Failed3,T.Prob1,T.Prob2,T.Prob3,Mean.T.Prob,SD,SE,DP
22,5,15,4,0,0,0,165740,165599,164170,0,0,0,0,0,0,5
23,9,15,4,0,0,1,164159,164172,163072,0,0,6.13E-06,2.04E-06,3.54E-06,2.04E-06,5
24,17,15,4,2,0,4,162746,164413,163533,1.23E-05,0,2.45E-05,1.22E-05,1.22E-05,7.06E-06,5
25,3,3,6,6,10,6,163919,165863,163627,3.66E-05,6.03E-05,3.67E-05,4.45E-05,1.37E-05,7.88E-06,5
26,5,3,6,11,7,10,163295,165188,162557,6.74E-05,4.24E-05,6.15E-05,5.71E-05,1.31E-05,7.54E-06,5
27,9,3,6,23,21,19,164373,163796,162890,0.000139906,0.000128192,0.00011663,0.000128242,1.16E-05,6.72E-06,5
28,17,3,6,63,57,63,163647,165560,164932,0.000384827,0.000344168,0.00038183,0.000370275,2.27E-05,1.31E-05,5
29,3,7,6,0,2,3,162653,164101,162245,0,1.22E-05,1.85E-05,1.02E-05,9.40E-06,5.43E-06,5
30,5,7,6,1,2,1,164644,163773,165627,6.07E-06,1.22E-05,6.04E-06,8.11E-06,3.55E-06,2.05E-06,5
31,9,7,6,2,0,6,163353,164819,163781,1.22E-05,0,3.66E-05,1.63E-05,1.86E-05,1.08E-05,5
32,17,7,6,15,8,5,162558,165315,164169,9.23E-05,4.84E-05,3.05E-05,5.70E-05,3.18E-05,1.84E-05,5
33,3,15,6,0,0,0,163750,162976,162889,0,0,0,0,0,0,5
34,5,15,6,0,0,0,163024,163628,163062,0,0,0,0,0,0,5
35,9,15,6,0,0,0,164052,162851,162420,0,0,0,0,0,0,5
36,17,15,6,1,1,0,163037,162552,162367,6.13E-06,6.15E-06,0,4.10E-06,3.55E-06,2.05E-06,5
37,3,3,2,74,73,93,164875,166253,162736,0.000448624,0.000438897,0.000571151,0.000486224,7.37E-05,4.26E-05,7.5
38,5,3,2,137,120,138,164633,161538,165399,0.000831462,0.000742308,0.00083365,0.000802473,5.21E-05,3.01E-05,7.5
39,9,3,2,264,273,217,165545,165606,162687,0.001592193,0.001645778,0.001332073,0.001523348,0.000167802,9.69E-05,7.5
40,17,3,2,492,476,421,162404,162789,163049,0.003020332,0.002915505,0.002575396,0.002837078,0.000232605,0.000134295,7.5
41,3,7,2,148,114,106,165610,164807,163355,0.000892868,0.00069124,0.000648473,0.000744194,0.000130519,7.54E-05,7.5
42,5,7,2,154,142,125,162581,163860,165002,0.000946324,0.000865843,0.000756993,0.000856387,9.50E-05,5.49E-05,7.5
43,9,7,2,221,223,228,162602,163640,162870,0.001357302,0.001360893,0.001397933,0.001372043,2.25E-05,1.30E-05,7.5
44,17,7,2,391,409,358,162791,163720,162584,0.002396098,0.002491942,0.002197101,0.002361714,0.000150398,8.68E-05,7.5
45,3,15,2,12,16,9,163413,164294,163248,7.34E-05,9.74E-05,5.51E-05,7.53E-05,2.12E-05,1.22E-05,7.5
46,5,15,2,10,25,15,161831,164353,163010,6.18E-05,0.000152088,9.20E-05,0.000101963,4.60E-05,2.65E-05,7.5
47,9,15,2,35,30,35,162812,163241,164218,0.000214926,0.000183744,0.000213086,0.000203918,1.75E-05,1.01E-05,7.5
48,17,15,2,78,70,77,163952,164560,165204,0.000475523,0.000425196,0.000465873,0.000455531,2.67E-05,1.54E-05,7.5
49,3,3,4,54,41,51,163328,165286,164803,0.000330514,0.000247993,0.000309365,0.000295957,4.29E-05,2.47E-05,7.5
50,5,3,4,78,88,79,164105,164472,162972,0.00047508,0.000534759,0.000484511,0.000498117,3.21E-05,1.85E-05,7.5
51,9,3,4,162,176,162,162542,165171,165968,0.000995673,0.001064428,0.00097514,0.001011747,4.68E-05,2.70E-05,7.5
52,17,3,4,315,312,335,164754,164398,163377,0.001908293,0.001894238,0.002046276,0.001949603,8.40E-05,4.85E-05,7.5
53,3,7,4,52,60,52,163286,166147,163337,0.000318358,0.000360996,0.000318259,0.000332538,2.46E-05,1.42E-05,7.5
54,5,7,4,59,73,83,163069,164799,163875,0.000361679,0.000442768,0.000506227,0.000436891,7.25E-05,4.18E-05,7.5
55,9,7,4,99,93,90,162438,163441,164909,0.000609092,0.000568689,0.000545458,0.000574413,3.22E-05,1.86E-05,7.5
56,17,7,4,181,170,183,163679,163712,163263,0.001104601,0.001037332,0.001119636,0.00108719,4.38E-05,2.53E-05,7.5
57,3,15,4,2,2,2,164474,162837,163818,1.22E-05,1.23E-05,1.22E-05,1.22E-05,6.15E-08,3.55E-08,7.5
58,5,15,4,2,3,1,163947,163945,164640,1.22E-05,1.83E-05,6.07E-06,1.22E-05,6.11E-06,3.53E-06,7.5
59,9,15,4,2,8,8,163795,162795,162495,1.22E-05,4.91E-05,4.92E-05,3.69E-05,2.13E-05,1.23E-05,7.5
60,17,15,4,19,26,18,165690,164353,164904,0.000114659,0.000158171,0.000109143,0.000127324,2.69E-05,1.55E-05,7.5
61,3,3,6,44,40,30,164541,163335,165827,0.000267339,0.000244836,0.000180879,0.000231018,4.49E-05,2.59E-05,7.5
62,5,3,6,59,52,50,163453,163605,164732,0.00036083,0.000317738,0.000303431,0.000327333,2.99E-05,1.73E-05,7.5
63,9,3,6,108,105,113,163975,164396,165992,0.000658203,0.000638294,0.000680293,0.00065893,2.10E-05,1.21E-05,7.5
64,17,3,6,245,258,270,165753,164761,164331,0.001475921,0.001563456,0.00164033,0.001559903,8.23E-05,4.75E-05,7.5
65,3,7,6,5,6,6,163169,162343,166183,3.06E-05,3.70E-05,3.61E-05,3.46E-05,3.43E-06,1.98E-06,7.5
66,5,7,6,16,10,11,161959,165444,162520,9.88E-05,6.04E-05,6.77E-05,7.56E-05,2.04E-05,1.18E-05,7.5
67,9,7,6,24,23,27,163074,163402,162374,0.000147151,0.000140737,0.000166255,0.000151381,1.33E-05,7.66E-06,7.5
68,17,7,6,62,65,57,164628,165041,164056,0.000376465,0.000393686,0.000347322,0.000372491,2.34E-05,1.35E-05,7.5
69,3,15,6,1,2,2,165109,163988,163556,6.06E-06,1.22E-05,1.22E-05,1.02E-05,3.55E-06,2.05E-06,7.5
70,5,15,6,0,1,0,164796,165325,164721,0,6.05E-06,0,2.02E-06,3.49E-06,2.02E-06,7.5
71,9,15,6,1,1,0,163910,162737,159985,6.10E-06,6.14E-06,0,4.08E-06,3.54E-06,2.04E-06,7.5
72,17,15,6,7,10,3,164153,161957,164007,4.26E-05,6.17E-05,1.83E-05,4.09E-05,2.18E-05,1.26E-05,7.5
73,3,3,2,137,143,155,164050,163469,163251,0.000834414,0.000874019,0.000948558,0.000885664,5.80E-05,3.35E-05,10
74,5,3,2,244,257,244,163026,165778,162506,0.001494457,0.001547866,0.001499232,0.001513852,2.96E-05,1.71E-05,10
75,9,3,2,406,469,441,164262,163481,165198,0.002465567,0.002860628,0.002662416,0.002662871,0.000197531,0.000114045,10
76,17,3,2,883,871,857,163990,162983,163195,0.005355637,0.005315708,0.005223953,0.005298433,6.75E-05,3.90E-05,10
77,3,7,2,293,280,302,164178,162278,163237,0.001781469,0.001722462,0.001846654,0.001783529,6.21E-05,3.59E-05,10
78,5,7,2,347,354,347,163823,164429,162052,0.002113663,0.00214828,0.002136713,0.002132885,1.76E-05,1.02E-05,10
79,9,7,2,490,478,465,161905,163431,162470,0.003017334,0.002916252,0.002853899,0.002929162,8.25E-05,4.76E-05,10
80,17,7,2,785,767,773,162442,161651,160831,0.004809253,0.004722383,0.004783297,0.004771645,4.46E-05,2.57E-05,10
81,3,15,2,27,23,26,165976,164034,166715,0.000162648,0.000140195,0.00015593,0.000152924,1.15E-05,6.65E-06,10
82,5,15,2,40,52,52,165413,164666,164004,0.00024176,0.000315691,0.000316965,0.000291472,4.31E-05,2.49E-05,10
83,9,15,2,96,80,96,165361,163662,163366,0.000580211,0.000488573,0.000587292,0.000552026,5.51E-05,3.18E-05,10
84,17,15,2,201,215,190,165538,163900,163358,0.00121275,0.001310057,0.001161738,0.001228182,7.54E-05,4.35E-05,10
85,3,3,4,93,107,110,165174,164150,165593,0.000562726,0.000651418,0.000663838,0.000625994,5.51E-05,3.18E-05,10
86,5,3,4,167,163,164,163840,163473,165969,0.001018249,0.000996113,0.000987161,0.001000508,1.60E-05,9.24E-06,10
87,9,3,4,316,289,303,161310,163606,163302,0.001955131,0.001763324,0.001852022,0.001856826,9.60E-05,5.54E-05,10
88,17,3,4,632,608,587,162340,163433,163009,0.003877967,0.00370639,0.003588107,0.003724155,0.000145744,8.41E-05,10
89,3,7,4,147,141,147,163900,162841,162369,0.000896085,0.000865126,0.000904526,0.000888579,2.07E-05,1.20E-05,10
90,5,7,4,191,180,186,163066,162043,165323,0.001169935,0.001109584,0.001123806,0.001134441,3.15E-05,1.82E-05,10
91,9,7,4,236,257,235,163464,162767,163511,0.001441662,0.001576455,0.00143515,0.001484422,7.98E-05,4.61E-05,10
92,17,7,4,452,447,406,164256,164678,163262,0.00274425,0.00270704,0.002480632,0.002643974,0.000142677,8.24E-05,10
93,3,15,4,6,4,9,163007,165179,163709,3.68E-05,2.42E-05,5.50E-05,3.87E-05,1.55E-05,8.93E-06,10
94,5,15,4,10,14,8,163091,163035,164770,6.13E-05,8.59E-05,4.86E-05,6.52E-05,1.90E-05,1.09E-05,10
95,9,15,4,23,24,19,164504,164731,164373,0.000139795,0.000145671,0.000115577,0.000133681,1.60E-05,9.21E-06,10
96,17,15,4,45,51,55,163235,162073,165205,0.0002756,0.000314574,0.000332809,0.000307661,2.92E-05,1.69E-05,10
97,3,3,6,61,80,76,164020,162141,163629,0.000371768,0.000493154,0.00046425,0.000443057,6.34E-05,3.66E-05,10
98,5,3,6,104,111,114,164344,162339,164347,0.000632419,0.000683287,0.000693173,0.000669626,3.26E-05,1.88E-05,10
99,9,3,6,201,242,225,163724,163802,163113,0.001226171,0.001475214,0.001377512,0.001359632,0.000125481,7.24E-05,10
100,17,3,6,469,486,478,162531,163120,164341,0.002877301,0.002970551,0.002900151,0.002916001,4.86E-05,2.81E-05,10
101,3,7,6,21,15,20,162721,163668,161460,0.000129039,9.16E-05,0.000123854,0.000114844,2.03E-05,1.17E-05,10
102,5,7,6,43,28,34,163859,163807,162324,0.000262352,0.000170904,0.000209414,0.000214223,4.59E-05,2.65E-05,10
103,9,7,6,61,60,66,162682,163654,164322,0.000374824,0.000366493,0.000401489,0.000380935,1.83E-05,1.06E-05,10
104,17,7,6,159,143,113,162881,163102,162731,0.000975221,0.000875984,0.000693916,0.000848373,0.000142671,8.24E-05,10
105,3,15,6,1,2,2,164200,163007,162593,6.09E-06,1.23E-05,1.23E-05,1.02E-05,3.58E-06,2.06E-06,10
106,5,15,6,2,1,1,160765,165497,161931,1.24E-05,6.04E-06,6.18E-06,8.22E-06,3.66E-06,2.11E-06,10
107,9,15,6,4,8,9,162468,162604,162267,2.46E-05,4.92E-05,5.55E-05,4.31E-05,1.63E-05,9.41E-06,10
108,17,15,6,20,12,11,163581,163467,164234,0.000122249,7.34E-05,6.70E-05,8.75E-05,3.02E-05,1.75E-05,10
